QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L300_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = f401ad07-2c11-48ca-b9cf-5b009c3cf49d
x[01] = -3.0781  job_id = 8530dd86-0b30-4e7f-b6ed-7382b75f9997
x[02] = -3.0147  job_id = 2080d9ac-b451-4d04-87c4-3d7637d42533
x[03] = -2.9512  job_id = bc2ce312-c2de-41a8-ae58-9a5601d336f1
x[04] = -2.8877  job_id = 2a176c21-cbe7-42d8-a774-3cf6c37784bb
x[05] = -2.8243  job_id = b7059e88-2b13-465e-aeda-8d0ba75fe59d
x[06] = -2.7608  job_id = f0528559-0199-4fd4-88ce-8c06a822bd42
x[07] = -2.6973  job_id = e4e74136-8670-4cec-96cc-6dc187f76dee
x[08] = -2.6339  job_id = 48535d97-7e0c-4197-8798-08b6c41eaa5e
x[09] = -2.5704  job_id = 005c2a1c-ae8a-4067-9c65-61950475eb29
x[10] = -2.5069  job_id = e3acfe76-d551-4800-b5f4-f6dafcb1c922
x[11] = -2.4435  job_id = 65c6ba0c-5aac-430e-97bf-07d6e5c6208f
x[12] = -2.3800  job_id = ced79791-60d2-4d02-af73-6de65cb09cff
x[13] = -2.3165  job_id = c72e0131-da2a-4a15-b697-fb72c1ad9c52
x[14] = -2.2531  job_id = ee7516d9-d3a4-4de9-a002-3314fd24f336
x[15] = -2.1896  job_id = 6aa8991f-bf67-4d0b-bb48-bc243c2e1a49
x[16] = -2.1261  job_id = 0de35f5b-eeb2-4fbe-9d1e-0872ff085024
x[17] = -2.0627  job_id = c3743fea-4d52-4e15-8676-2ddfdc1682b2
x[18] = -1.9992  job_id = 799f38a0-f92a-47fa-a0ff-355f7ee094ef
x[19] = -1.9357  job_id = 2e52d0f5-1cf3-49c1-938b-7667643f6574
x[20] = -1.8723  job_id = 5c0e7889-0d08-496e-9d93-23e456f1ad3b
x[21] = -1.8088  job_id = 03fa7721-3d15-4a1e-b908-5a513e5013ef
x[22] = -1.7453  job_id = 0934928f-3a75-4522-ad8e-b49661895be1
x[23] = -1.6819  job_id = 6d753264-0d07-4269-8370-fc8e4d2e0329
x[24] = -1.6184  job_id = 84de0f98-3592-48dc-93bf-537d1c2904f1
x[25] = -1.5549  job_id = a772e9f8-4cdf-41ab-84aa-7cf45af9d1bb
x[26] = -1.4915  job_id = 18894b86-8e6d-457a-b57e-1e9118f42efe
x[27] = -1.4280  job_id = d65d8679-9aca-409d-af2e-86b321a77cd3
x[28] = -1.3645  job_id = 68179ffa-e28a-4389-b504-ef96ed84f06e
x[29] = -1.3011  job_id = e5afbbde-9ab7-410c-a215-8cdffe0e158b
x[30] = -1.2376  job_id = 0d060f47-d446-4841-bf56-4f525b540b3b
x[31] = -1.1741  job_id = 50a0bee5-cb88-466a-b398-e9a3e5f5c9c6
x[32] = -1.1107  job_id = 686427b3-c0f0-471b-87a6-6393fd9f6da0
x[33] = -1.0472  job_id = 81267715-79f3-49d1-9bba-33816efb5fd9
x[34] = -0.9837  job_id = f193e2cd-0570-4d2b-b401-4df236f2d36e
x[35] = -0.9203  job_id = e72e0d88-b9e2-4cd6-810c-5b7d66b6e360
x[36] = -0.8568  job_id = 40db9e45-7bf4-4f15-814a-0922c3dbac2e
x[37] = -0.7933  job_id = c98de24e-ec71-4137-a472-1f51739ddeca
x[38] = -0.7299  job_id = e532d74d-163e-4b00-9610-1592e92d94ef
x[39] = -0.6664  job_id = bf08648d-861c-4aa5-947e-361a4bcce43c
x[40] = -0.6029  job_id = 998872b5-30d8-4705-b048-17d6e46213c0
x[41] = -0.5395  job_id = 9fd92e6e-4e27-4c15-b267-ebad873d8af7
