QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L24_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = adde2e7a-5e2b-46ca-825d-c610d515273a
x[01] = -3.0781  job_id = 3c4a836e-8650-4a6c-be3e-179a1c8125d4
x[02] = -3.0147  job_id = b19e7aa4-7d87-4a9e-a617-05fa11b5e398
x[03] = -2.9512  job_id = c1cece63-0847-4ef7-a1ba-447d3e3b6f07
x[04] = -2.8877  job_id = f364372c-48db-4d8c-b883-032a59afff57
x[05] = -2.8243  job_id = 6af8b2d1-aaa6-40ea-94d7-df5f05276510
x[06] = -2.7608  job_id = ab0dc335-fc21-4233-bc24-05fd635f22bc
x[07] = -2.6973  job_id = aa340bc0-5326-4628-92d4-f115b9798774
x[08] = -2.6339  job_id = 44cbb886-de29-452d-986d-99e99bfb13da
x[09] = -2.5704  job_id = 2709ad11-069d-4825-bfd6-bbe3c5fee6f7
x[10] = -2.5069  job_id = feb3dc6a-7e91-44b2-b560-9fe5ab1be5f7
x[11] = -2.4435  job_id = 85b6c86e-f746-40f6-96ec-b02cf9e2a71c
x[12] = -2.3800  job_id = 13586ec1-c86e-499f-8626-1c28dc23f587
x[13] = -2.3165  job_id = e149b5c4-1fb8-41d9-88b2-9ffd3b1e776b
x[14] = -2.2531  job_id = 45dc18e8-404d-4561-bac8-7b61fefc397f
x[15] = -2.1896  job_id = 7e308a33-2238-4741-a0c4-d3bcce11d145
x[16] = -2.1261  job_id = dbe1fbf9-08f7-41d5-aa1b-f945fcfdc8bc
x[17] = -2.0627  job_id = 7609b311-efa5-45fc-b5a3-b6eb29f2ad6b
x[18] = -1.9992  job_id = 84777906-e91a-4967-a463-7c040c511bef
x[19] = -1.9357  job_id = e69d3f84-d80b-4f18-82c4-44b1189bd459
x[20] = -1.8723  job_id = b0b9182b-7daa-489e-8051-3e51a4abe2fc
x[21] = -1.8088  job_id = e8802407-93b2-49e9-a8cd-1427240617b9
x[22] = -1.7453  job_id = b03e58f8-b321-40ad-bd4f-fac4b69a6ccb
x[23] = -1.6819  job_id = 45b7f3bf-9590-4378-9230-b669f76bc5ee
x[24] = -1.6184  job_id = 7600f86e-94fc-47de-b3cf-2dd030b79799
x[25] = -1.5549  job_id = 4a451651-a5de-46ba-8790-6d0105b89b4b
x[26] = -1.4915  job_id = ed463ca7-0831-402d-8101-b29f529231e8
x[27] = -1.4280  job_id = 921abd7c-c2ab-46b8-b460-4401dc49b97d
x[28] = -1.3645  job_id = 20fbf13d-9b59-4881-be28-e0dcb4098598
x[29] = -1.3011  job_id = d88366b5-18ad-4e73-9e78-0ddfeb4d18f3
x[30] = -1.2376  job_id = d26241e0-086f-4edc-9793-e94022389f33
x[31] = -1.1741  job_id = 2acd12e9-4083-491a-8a21-82e9da0e0f82
x[32] = -1.1107  job_id = 295efa12-7f58-415d-9177-8b298604da69
x[33] = -1.0472  job_id = d0277293-7065-4b17-9103-b33dc65f34f5
x[34] = -0.9837  job_id = e01a7056-29e8-4652-a978-d67d91e05c0d
x[35] = -0.9203  job_id = 7c02f98e-87f6-4891-9bb8-dda585de994b
x[36] = -0.8568  job_id = 640d39ce-7f32-408a-9a51-632d37983607
x[37] = -0.7933  job_id = c35ec296-cc03-4b0c-979e-3fc73885db9e
x[38] = -0.7299  job_id = dbbd2fb1-c9b1-4ccd-8c54-386bd1ce8f70
x[39] = -0.6664  job_id = 0f684d86-471e-4860-abb5-8eb037110950
x[40] = -0.6029  job_id = eeee8ee7-697f-4801-bf5a-12dc4f07fdc3
x[41] = -0.5395  job_id = 33f02f8c-79c2-45f8-b55a-76ef21c27f1c
x[42] = -0.4760  job_id = 9f588d9f-7e9e-462e-adff-a404507827c9
