QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L5_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = 4318decf-3329-4efe-98c7-b1808097b775
x[01] = -3.0781  job_id = bd6dfacc-87af-4b8a-89be-a795bd89044d
x[02] = -3.0147  job_id = 2e4b1bb5-e5af-41ea-8d6c-6105225cdb8b
x[03] = -2.9512  job_id = cf629007-d435-4e8e-8057-ff260114710a
x[04] = -2.8877  job_id = 32ac1167-3666-4cae-b833-943da77c7806
x[05] = -2.8243  job_id = e90dc6fd-6ed0-4f7e-8e69-e7aa3201ffb1
x[06] = -2.7608  job_id = 5cb70be4-d0e4-487b-a6f5-f10de2d53e57
x[07] = -2.6973  job_id = e7dfde89-86b1-4543-84b1-f593dd8022f0
x[08] = -2.6339  job_id = 2cd92fee-8b87-46e5-9def-985aeeae5045
x[09] = -2.5704  job_id = 45fb81d4-f386-43a3-bf79-0172dbe0853a
x[10] = -2.5069  job_id = 6839f8d9-efcf-4d9b-8424-8dfcfe24c10f
x[11] = -2.4435  job_id = beef99b8-148f-4ff9-ba1b-64d2a5b36772
x[12] = -2.3800  job_id = 08555d22-e8ac-4e1d-a5ec-84317aee7665
x[13] = -2.3165  job_id = ab0a623d-d08f-496d-a3b4-257fcf8ff587
x[14] = -2.2531  job_id = 43eeaded-18d0-433e-b7f0-0448fbaf5a58
x[15] = -2.1896  job_id = 5f3731a0-a6fc-47e6-b394-667aa88f101d
x[16] = -2.1261  job_id = 8ea160a5-7352-4ed0-9995-421a0bc86d05
x[17] = -2.0627  job_id = 522aaf9c-2372-4a00-938e-a08b33174652
x[18] = -1.9992  job_id = 8222b857-15c4-40b1-997b-65caae99b339
x[19] = -1.9357  job_id = 3e4c4429-a6a1-4e15-bd9a-3af377c1da43
x[20] = -1.8723  job_id = 1013fdfd-3bc5-439a-b831-e1e959d6b152
x[21] = -1.8088  job_id = 7175dbd6-e9f8-41cb-9f6a-7a9700ae158f
x[22] = -1.7453  job_id = 2a531a8c-b8c9-4bb1-b300-08c543a306bb
x[23] = -1.6819  job_id = cf005d69-d95d-4372-bb63-83dbd8b07fd0
x[24] = -1.6184  job_id = 157ec54b-665f-4da2-ba41-8072188ad1c7
x[25] = -1.5549  job_id = 7ac2bf6a-ef77-4ce7-98e4-7330678f3f83
x[26] = -1.4915  job_id = e6eda444-6006-4f57-98b1-809a58a41830
x[27] = -1.4280  job_id = 1c7f99bc-19db-423c-9408-561a000df601
x[28] = -1.3645  job_id = 0ae7ef49-0619-4a82-a297-dc33c483855d
x[29] = -1.3011  job_id = dd695169-9d12-496e-a1f7-ecc6b11fe074
x[30] = -1.2376  job_id = 471f55d5-0ab7-499b-aed1-c37231fde44f
x[31] = -1.1741  job_id = 1b30c0a9-0abd-48a9-9084-74e9d9245a52
x[32] = -1.1107  job_id = 07f02e70-a004-4714-ac78-36d570306731
x[33] = -1.0472  job_id = 8dcf7b45-9b61-4e82-898f-baf2670f4fc9
x[34] = -0.9837  job_id = a485ddcd-5137-4381-a277-b1431737c13f
x[35] = -0.9203  job_id = c9a749cc-587e-44be-a865-da63e5ef0b15
x[36] = -0.8568  job_id = 7bc849db-84e5-495c-a3c3-9b57ea1e9ca7
x[37] = -0.7933  job_id = bfe5a916-4fd1-4686-914e-fcbc24baa7be
x[38] = -0.7299  job_id = b13b97d5-7f21-4ea2-8fa3-0bcd9cadc6ac
x[39] = -0.6664  job_id = 9303c176-d3e6-40e9-9f68-6c2c89f10e81
x[40] = -0.6029  job_id = a19a65d0-1ee3-4241-9171-931b5127a671
x[41] = -0.5395  job_id = ac93c944-fb1e-4d37-a0d7-ab3f93a07333
