QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L120_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = 1ed3e188-533f-40db-901c-c73a861b899b
x[01] = -3.0781  job_id = 7cf78429-4593-41f0-92ce-ce018fb578a5
x[02] = -3.0147  job_id = 6a2b72f4-1f78-40cf-ab61-4885ed21cae2
x[03] = -2.9512  job_id = 50697e1c-9ac0-4a8c-a61f-cdbec59ed9ca
x[04] = -2.8877  job_id = 8b54b6ac-aab9-46d8-bfa4-d6880830eb77
x[05] = -2.8243  job_id = 4ae5ebca-f4ca-4c0c-92c9-06da652f2aec
x[06] = -2.7608  job_id = 2a7e6b92-7edb-4610-891e-0a897fa4bb5e
x[07] = -2.6973  job_id = f2fc6fe4-77af-40bb-87a4-4a8ad79cda75
x[08] = -2.6339  job_id = b7029a81-de06-4fcd-9e13-aa94a74f78e5
x[09] = -2.5704  job_id = 3c584376-f8a5-4b61-bb60-79d1e84d554a
x[10] = -2.5069  job_id = 1e08f4fa-de9a-4d4d-bd21-f5b7fc64bb87
x[11] = -2.4435  job_id = 6ee46b0b-5c5c-4b26-a508-a3ec7f0384be
x[12] = -2.3800  job_id = 102b472f-d8ec-48c9-b6db-16af060de98b
x[13] = -2.3165  job_id = 100434c6-3dd4-4e6c-8884-7701a28e7ec8
x[14] = -2.2531  job_id = 94e0039c-d4cc-4c67-8b14-591b1c5df52e
x[15] = -2.1896  job_id = b1721d5f-f779-4ec6-ab2f-21765b843cf3
x[16] = -2.1261  job_id = d3576d60-b09b-43d6-a868-9a38b4eabb99
x[17] = -2.0627  job_id = 42f0063a-dcf0-445b-9f33-0c1dee4199aa
x[18] = -1.9992  job_id = cb818eeb-8dc5-476b-b9ec-dde4ba5fe4d5
x[19] = -1.9357  job_id = 801752d4-85f3-4b4d-af5b-f59ece006fc3
x[20] = -1.8723  job_id = 25df79d4-bcca-4424-8961-9a636d11bfa1
x[21] = -1.8088  job_id = 735796a6-ed28-42da-9458-004c5a331c45
x[22] = -1.7453  job_id = 6f18b8c2-cfd3-40da-a0f1-89b45ce0591e
x[23] = -1.6819  job_id = 9b2eb110-63d6-4826-bc42-10ec754646c1
x[24] = -1.6184  job_id = a02c9322-261e-44c2-b01f-62e29d32607b
x[25] = -1.5549  job_id = 773c4c19-f35b-4fb0-a389-f9140e7ffcac
x[26] = -1.4915  job_id = 817d6b01-b797-4ee4-b7a5-60d36fc74bce
x[27] = -1.4280  job_id = 8bd92a14-f891-47ce-a887-475d662a912b
x[28] = -1.3645  job_id = 730a8c9b-f29d-4619-a946-919836e0621c
x[29] = -1.3011  job_id = 5310777a-ee6d-415e-afbd-ae4b1b77bb80
x[30] = -1.2376  job_id = 782ef8a5-b15f-41ea-aac3-a8e54c361f9f
x[31] = -1.1741  job_id = 8a02a286-0d23-4b9b-b987-5371024750d9
x[32] = -1.1107  job_id = ae4d53ee-dd3a-4a29-8750-68360e0666b5
x[33] = -1.0472  job_id = d731d377-ea24-4e38-b423-8ac8234cc809
x[34] = -0.9837  job_id = cc7b84f2-68ba-47ee-9300-85c1547b20df
x[35] = -0.9203  job_id = c2bf2c6c-744d-4b52-92b1-00620a5b683d
x[36] = -0.8568  job_id = 007874bd-11de-4a48-89a5-002505148c67
x[37] = -0.7933  job_id = 4298a576-d2aa-4588-963f-fe861015ffeb
x[38] = -0.7299  job_id = 13abe753-2966-4b9b-9123-fb590cf4a31e
x[39] = -0.6664  job_id = 9064a258-c1c3-4cd4-bf5c-651db32d15f5
x[40] = -0.6029  job_id = 3bf791bb-4a4b-4376-b54b-459bdac1bc0b
x[41] = -0.5395  job_id = d8d33ce3-4712-45f8-b3e9-c49c639e1403
