QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L330_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = 2564dacc-2936-45e0-a796-90310091641a
x[01] = -3.0781  job_id = 6a19cb71-dd78-49ff-bcce-9666e6887d74
x[02] = -3.0147  job_id = 1d335361-c6d0-4974-aaba-771c5b29f5cc
x[03] = -2.9512  job_id = 3843fabf-c783-45da-88d1-80596dfaa92d
x[04] = -2.8877  job_id = 54b6f6c7-5edb-470a-8bd1-2c249dd808dd
x[05] = -2.8243  job_id = 4be87015-69e3-46c3-9273-7f21c818cd84
x[06] = -2.7608  job_id = 73fa1e80-4e83-42a0-a8d5-726c18c96b4b
x[07] = -2.6973  job_id = d2dfa783-642f-4669-8153-8843a85aa12d
x[08] = -2.6339  job_id = 5206e106-9e36-44f7-95eb-207008123b35
x[09] = -2.5704  job_id = d5044368-80a9-4924-beb7-6147473db91d
x[10] = -2.5069  job_id = c4ff1cdf-935a-4066-a1ba-644a54090c9c
x[11] = -2.4435  job_id = 488aa7ce-57c2-4211-a8de-7cd700474de8
x[12] = -2.3800  job_id = c314d4d9-8c09-46c0-a18b-4de8669c22af
x[13] = -2.3165  job_id = 2789a64a-8fd1-4ef6-ac0f-63640746c40a
x[14] = -2.2531  job_id = 907b0da5-9d36-4d25-ac5e-7d1bc8cdb53a
x[15] = -2.1896  job_id = b2fde54d-b240-4c48-8f40-5488644ef09a
x[16] = -2.1261  job_id = 268925ef-98d1-4b57-b4d0-2ee134d27736
x[17] = -2.0627  job_id = 175d6401-26aa-4026-a885-e81e1cd51e61
x[18] = -1.9992  job_id = 0d727498-0cad-4653-af0a-e6b039d25239
x[19] = -1.9357  job_id = efd8133a-1168-49ac-ba67-dfd63219368d
x[20] = -1.8723  job_id = d74ab480-ae3f-459a-84c4-8cb809fd6bd4
x[21] = -1.8088  job_id = ab263d91-835b-4a5d-92b9-e8be060d8881
x[22] = -1.7453  job_id = bc4e0c69-4077-4714-ada3-c6260a4103ae
x[23] = -1.6819  job_id = 409f4093-c58d-4714-aabc-025562757803
x[24] = -1.6184  job_id = 61799574-90cb-47b0-a58f-fcea5d4b2400
x[25] = -1.5549  job_id = d333b2e8-48ea-4e0c-953d-95ebaa230f4c
x[26] = -1.4915  job_id = 7faf7a59-6c75-434c-8de5-1c4bd8666f1e
x[27] = -1.4280  job_id = b12f4128-61c1-4158-bb5b-b22cb115c0c6
x[28] = -1.3645  job_id = c90fa93a-880e-4ba0-b610-772b80e0eb6c
x[29] = -1.3011  job_id = 338c3989-883e-44c6-bd31-12f82881af89
x[30] = -1.2376  job_id = f70be6bf-15e2-4fd1-99f9-a30a14ee1c1c
x[31] = -1.1741  job_id = 1e25570b-9255-40d2-bc63-0d7b9ae18fa9
x[32] = -1.1107  job_id = ba7f7367-0669-4d16-b813-31b6df779535
x[33] = -1.0472  job_id = 182f4e77-f15c-47f0-b025-22d5b2f55a52
x[34] = -0.9837  job_id = e9b4cb21-e344-4031-a11b-2f51d0414f62
x[35] = -0.9203  job_id = 14022b3e-a9e8-4851-9365-bdf03bc42811
x[36] = -0.8568  job_id = 9e5cb81c-0225-431e-b5ef-d6ec48c20994
x[37] = -0.7933  job_id = b7e82b6d-5575-4077-b4af-02de4df69fc5
x[38] = -0.7299  job_id = 81bb6748-c96c-4bf8-9e5c-2debe4a1b615
x[39] = -0.6664  job_id = f9b658fe-fe89-43ab-84d4-d9ea4efcf621
x[40] = -0.6029  job_id = 13af1eb7-43d5-461b-b7c4-8d17d48fd301
x[41] = -0.5395  job_id = fd19f431-d7ac-4a9d-a7f9-251883595c9c
x[42] = -0.4760  job_id = cf283916-2639-4598-9206-2b5292e33000
