QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L30_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = 5873619e-8a88-4272-a70f-0b7a608c206d
x[01] = -3.0781  job_id = 69062103-2c60-478d-b212-928805aa205c
x[02] = -3.0147  job_id = 075652b1-1f0e-4cb0-a135-8fd6ab62c90f
x[03] = -2.9512  job_id = eaa2e87c-0cf5-492c-8ed9-d306218c8f06
x[04] = -2.8877  job_id = 4f5b864d-bcd2-4ec6-9cd1-040a5be6047a
x[05] = -2.8243  job_id = bbc3fb2e-9d8a-4ba3-8794-4c73067b1be0
x[06] = -2.7608  job_id = b061a9eb-76d8-4fd8-ac00-9293dbd2868a
x[07] = -2.6973  job_id = f3728eab-4d78-4bca-bcd5-25064696268a
x[08] = -2.6339  job_id = 6f25390f-fd82-4ff3-b344-3ff81d6aaa9f
x[09] = -2.5704  job_id = c9f71834-fd17-4fd8-8f89-c2c7a0b6ca42
x[10] = -2.5069  job_id = 920ec95a-34e2-4238-8755-b4a2e9f10bad
x[11] = -2.4435  job_id = 60c65954-947e-4cec-9592-757e1c7090d7
x[12] = -2.3800  job_id = f109e18f-7fd4-4c0e-80d3-f02d7a212e6f
x[13] = -2.3165  job_id = 78fa66f6-e3e0-414c-8a99-45a5e0a72ec0
x[14] = -2.2531  job_id = 2acc97d8-3ecd-4d8a-ba82-30a1587a54c4
x[15] = -2.1896  job_id = b3b78d84-8a79-48ab-9fa6-42351cb7e8ca
x[16] = -2.1261  job_id = 332fb186-896d-4a1c-b577-46072f5aae1b
x[17] = -2.0627  job_id = ca6d7c71-5d5e-488f-99e2-162e90e959a2
x[18] = -1.9992  job_id = 77fb6459-1282-4d29-8274-c30cf65b3bfc
x[19] = -1.9357  job_id = 2a032512-8454-4473-bafb-581c84f1ffe2
x[20] = -1.8723  job_id = ecc77acc-0d16-4faa-95b4-f0d3d614c974
x[21] = -1.8088  job_id = b27759fe-41a5-45d3-b1be-f6846ec3933b
x[22] = -1.7453  job_id = bbb2855b-af29-4d68-97c1-5906f7e5375e
x[23] = -1.6819  job_id = 6d5531bd-26ad-4f50-8b41-7823d76c39dd
x[24] = -1.6184  job_id = 7446522a-2ff1-4f59-9257-e77afdd2c530
x[25] = -1.5549  job_id = b8a2c739-ebab-4358-9f76-6acafa97bec0
x[26] = -1.4915  job_id = 0b1cf865-8faf-47b7-a611-0b7b7eee284a
x[27] = -1.4280  job_id = 7b5384c0-7a6f-4e2e-8b13-67bc4ca45c90
x[28] = -1.3645  job_id = dcfa6b88-5ad5-49ae-9d38-40019081c89c
x[29] = -1.3011  job_id = 7fce2c9e-f8f9-4fb7-bae8-58234ab54f87
x[30] = -1.2376  job_id = a79b7295-ccb1-4dc9-82ad-67d2166c7984
x[31] = -1.1741  job_id = 4c29c060-9546-41a9-93ff-430723e25183
x[32] = -1.1107  job_id = 76a35f4e-870e-410a-be65-ca7b9a222e1c
x[33] = -1.0472  job_id = 6f3b4b19-a9c1-4de1-b2d0-af28c269e49b
x[34] = -0.9837  job_id = a88e49ae-8971-41a9-946a-04adf336ae24
x[35] = -0.9203  job_id = 363b1d53-8795-4c92-bc0e-ee08a5a20cd5
x[36] = -0.8568  job_id = d524cfb8-948f-4b1a-954d-77207ebe9e3e
x[37] = -0.7933  job_id = 5659caf4-8c7c-472a-b10d-e3828f18c6e9
x[38] = -0.7299  job_id = 62b88de2-39c6-4b7a-8c24-70967ee59450
x[39] = -0.6664  job_id = 9e224905-d308-4333-ba51-f57ef3c7ff8a
x[40] = -0.6029  job_id = 28a0b345-18c3-46c3-ad3d-1bc401e28aeb
x[41] = -0.5395  job_id = 5d8e6d82-553e-4b14-8d59-6251b5f61169
