QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L10_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = f2c03896-56ae-424b-8cd6-05eecddc4d0a
x[01] = -3.0781  job_id = 76359e0f-c984-4b96-a597-c50180866b06
x[02] = -3.0147  job_id = 347bf9a2-db9e-4d30-aaf8-f0e0bf80ab06
x[03] = -2.9512  job_id = 11ffe264-4655-4f8b-92b4-c18969d9bc3a
x[04] = -2.8877  job_id = 2745299b-495d-4d8c-9809-dccac9607e78
x[05] = -2.8243  job_id = 925dc1eb-7ce0-4936-b9b4-fdfa5d2908d6
x[06] = -2.7608  job_id = f97ffeff-59ad-416c-8ea0-3998e2c2c1e4
x[07] = -2.6973  job_id = 2df1f1d4-5ca4-4cf3-893a-32034838e0a8
x[08] = -2.6339  job_id = 460fa971-5db7-4198-8cb3-6b5da7480e98
x[09] = -2.5704  job_id = edc0c648-c97d-4346-970c-3df2a8f2c549
x[10] = -2.5069  job_id = dfbda455-e1bb-4353-b989-8e0a0392c120
x[11] = -2.4435  job_id = 851a345f-aa72-480c-a4da-8745157fca72
x[12] = -2.3800  job_id = 33049ff1-fd07-4b0b-a735-ca9ed02061c9
x[13] = -2.3165  job_id = afb861c0-7670-4634-bd8b-074049574c36
x[14] = -2.2531  job_id = 715f2776-bf91-44d6-84ea-def2bc70d540
x[15] = -2.1896  job_id = e8ebf4e2-9d48-49da-9063-f9611d50a93a
x[16] = -2.1261  job_id = 0db052cb-23c5-454a-8c66-846956d16a22
x[17] = -2.0627  job_id = c452ae08-f851-4a6e-a8ad-fbb0e6941d9b
x[18] = -1.9992  job_id = ecdbd41e-da6d-442b-9c1a-002d08ef8979
x[19] = -1.9357  job_id = 0ffb1467-05a1-4e8a-8d48-8ef6580d3f96
x[20] = -1.8723  job_id = 085fca71-25ed-4380-baf2-801b962eca45
x[21] = -1.8088  job_id = eed67300-09e1-4e6c-949c-62209f8fc470
x[22] = -1.7453  job_id = 0ba784f8-2b19-409d-9735-e3eec19019a1
x[23] = -1.6819  job_id = 1f6024f6-4f2b-4459-8ef1-42e517d195c8
x[24] = -1.6184  job_id = e0a690fc-2f2b-48b8-8ca6-5f8c8b35fff1
x[25] = -1.5549  job_id = 7258ec29-10d2-4d82-aef1-5a8387b63f50
x[26] = -1.4915  job_id = 7b9247a8-c5e5-45fb-9286-8953c3c19f49
x[27] = -1.4280  job_id = f3975531-a955-439b-93f0-b40363202ce4
x[28] = -1.3645  job_id = 538d0357-d60e-4ba4-8b97-4efd4ec4a978
x[29] = -1.3011  job_id = d3836802-31d2-4880-ad38-88874f01595c
x[30] = -1.2376  job_id = db890150-f83e-4908-94a9-009332a477a0
x[31] = -1.1741  job_id = c4b28a15-ff7c-40b9-ba05-61c2817cda27
x[32] = -1.1107  job_id = ccfca05f-0b63-4f5e-a09c-69205b2c1384
x[33] = -1.0472  job_id = 4343503a-fcfa-4385-9251-59641fc811d1
x[34] = -0.9837  job_id = d424d908-2409-4f6b-b653-b52fd7681dde
x[35] = -0.9203  job_id = f8b8181a-3e42-4329-b0fa-71612845b022
x[36] = -0.8568  job_id = 161a6202-0557-466c-b264-db061c5639cc
x[37] = -0.7933  job_id = add3990c-a62d-49a2-ae0c-a9893e410af3
x[38] = -0.7299  job_id = c1b7118b-df70-4210-bec1-6a3ebd404f01
x[39] = -0.6664  job_id = fccdfc80-2fe7-42d0-906b-20d466daa04a
x[40] = -0.6029  job_id = 5e91b70c-b153-4a61-87a8-5f373bc86b36
x[41] = -0.5395  job_id = 96134952-0692-44e2-9b05-e065b5b75de5
x[42] = -0.4760  job_id = 1d290d41-66a3-40aa-89c9-604c901a03e5
