QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L360_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = e7474bb5-18df-4865-91b9-b571198177d1
x[01] = -3.0781  job_id = 5c19bff3-8f1a-48c1-a5e6-4a032f77b244
x[02] = -3.0147  job_id = 53fcb9c5-1e11-4070-9af0-98505393f712
x[03] = -2.9512  job_id = b44c4512-a3c9-4276-a9a2-c1e292490d84
x[04] = -2.8877  job_id = e40a9120-ae89-4338-b6da-f8c7813a602f
x[05] = -2.8243  job_id = d3dd35a9-84ed-41d1-a1ee-cebb41a3ba7f
x[06] = -2.7608  job_id = d7e34f30-b6d8-4228-855e-ba88431a6bbf
x[07] = -2.6973  job_id = 2c009d74-44c7-40f8-a7f2-2902c84bb2f9
x[08] = -2.6339  job_id = 43e3d354-1ea1-4c17-88c6-f064a64b267e
x[09] = -2.5704  job_id = dc13c48c-8228-4c3a-8858-516d63a9c630
x[10] = -2.5069  job_id = 371519c1-7021-4347-ba7f-3fc921583358
x[11] = -2.4435  job_id = 961a5713-c8d7-4b6d-80dd-5a47e0ee040c
x[12] = -2.3800  job_id = 240d34dc-adb5-46d9-8102-4b37b5b34cc2
x[13] = -2.3165  job_id = 4484ca5d-1aaa-438b-b61e-77279c0ca84f
x[14] = -2.2531  job_id = 5c942f3c-1f73-48af-868f-70b5b6a85baa
x[15] = -2.1896  job_id = 39d3ab3f-b06c-42fd-91bf-08c173483414
x[16] = -2.1261  job_id = 7170cb52-3bbc-4fce-a4da-5bee475c5db7
x[17] = -2.0627  job_id = beb8ab6d-c529-4587-a639-0a3a38a94a86
x[18] = -1.9992  job_id = cf7e1832-e5ab-45fd-b13b-e5d674005a11
x[19] = -1.9357  job_id = 6170b959-5f1a-44d6-8435-3e2965252a56
x[20] = -1.8723  job_id = 28f54aa7-9661-40cc-a9fa-8fd13215681b
x[21] = -1.8088  job_id = 920f1bdc-db92-4d94-a3d0-c5b38171dba2
x[22] = -1.7453  job_id = c5aa7770-18fd-421d-aec8-818037b7b113
x[23] = -1.6819  job_id = f3c696fa-bdf5-4eba-afab-e009be340287
x[24] = -1.6184  job_id = 6308509b-be54-46d1-bf23-09e95b2d43aa
x[25] = -1.5549  job_id = 770ef2de-17f4-43bb-8a7e-5b811f116306
x[26] = -1.4915  job_id = 9bef161c-a16c-4c19-9cf1-862d81668c68
x[27] = -1.4280  job_id = 1447da11-c4fe-4132-aa98-c39b2a3c388b
x[28] = -1.3645  job_id = 6bb9d333-c382-4ee8-9755-6247c598835c
x[29] = -1.3011  job_id = 4e955b6a-aef2-41fd-a9fe-c9cae4f56122
x[30] = -1.2376  job_id = e6da7366-f817-4ee6-be7f-6bd84a5378eb
x[31] = -1.1741  job_id = 3b915d02-9573-4ac2-9144-dd8e66a97f10
x[32] = -1.1107  job_id = 425fb9fb-a9e5-4956-8f05-5df69a31022b
x[33] = -1.0472  job_id = b60d7b30-81d0-4900-baa5-2d42c1076953
x[34] = -0.9837  job_id = cfb4ef44-94b5-43dd-8cd3-6c7abef605ce
x[35] = -0.9203  job_id = ea6d0403-51e8-40d0-b54d-2ba978c47e9e
x[36] = -0.8568  job_id = b059922a-e54d-478d-be12-97790d942dde
x[37] = -0.7933  job_id = e233e445-40bc-44c3-a62f-5f426485fd67
x[38] = -0.7299  job_id = 10eee631-b542-461c-82f5-94800055a28d
x[39] = -0.6664  job_id = bfb10857-c9d9-482f-8dd5-675e6163c9f4
x[40] = -0.6029  job_id = 838b2e8e-996d-4869-8664-c974433c549f
x[41] = -0.5395  job_id = e3c70c92-883a-4909-98e9-ae2f696dfb0e
x[42] = -0.4760  job_id = e0f39b56-3ba4-49da-b76a-145d4e35b915
