QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L180_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = ed7fbc13-061c-488b-9dee-f255a7f88511
x[01] = -3.0781  job_id = 056eb75f-53a0-482f-90ee-39bf3214e235
x[02] = -3.0147  job_id = 80491c02-a952-4ea2-9111-c75f5638a1c5
x[03] = -2.9512  job_id = 80169aec-2559-4cf3-adf9-78d3118ac6c2
x[04] = -2.8877  job_id = 6c5f90da-a705-4f7b-8f86-460371662e11
x[05] = -2.8243  job_id = b6ed3a7a-a990-43e2-a703-9f043dbbac1a
x[06] = -2.7608  job_id = 84876e4d-8477-4cec-bb8d-0e23370bf114
x[07] = -2.6973  job_id = a7120a5b-4218-4c5e-b019-4a116d9aeab6
x[08] = -2.6339  job_id = 6c9be112-df28-44c8-af16-f2caf7643193
x[09] = -2.5704  job_id = 234eadb7-ba39-4948-8d25-198a98e6dcc0
x[10] = -2.5069  job_id = d3568b4f-debe-4656-9701-4da12c7e6ea3
x[11] = -2.4435  job_id = 452034fd-2055-4662-a32e-055806ec0987
x[12] = -2.3800  job_id = 2e15e554-f758-40c9-89ec-da8cc99b7b42
x[13] = -2.3165  job_id = b566e04b-73f5-4e3e-b05f-b4c49c5d73d1
x[14] = -2.2531  job_id = 9688f578-87d6-4c8b-bb82-ccb5c152ab28
x[15] = -2.1896  job_id = 4405b08d-2754-4dc5-b3da-663d9e0c4de2
x[16] = -2.1261  job_id = 71f13491-da08-4e61-a3c0-26ea6ada07f9
x[17] = -2.0627  job_id = 62fbafb2-b6a9-4264-aa56-573056b4f9e5
x[18] = -1.9992  job_id = 553b24fa-c0b2-4a79-9a9b-dbd2f26c2b22
x[19] = -1.9357  job_id = ee1e2e00-95cf-4b55-95d2-b170d50df40a
x[20] = -1.8723  job_id = 5c9908b7-0d8b-4309-ad38-6018dc7e3c08
x[21] = -1.8088  job_id = 2b35f8f0-8c2d-4665-9e49-e8d938551da6
x[22] = -1.7453  job_id = de7cdda8-a71c-48cf-91da-d88166ef53d4
x[23] = -1.6819  job_id = 602dea4d-ca73-43a2-9d7f-f7371d2ce4c4
x[24] = -1.6184  job_id = ca78176d-76ae-4a69-8808-9dcf01805b27
x[25] = -1.5549  job_id = b60ebff8-87f0-49c5-8198-af6d9216ce12
x[26] = -1.4915  job_id = 7d2a2644-d8ee-4187-9027-0fbc96d3ca6a
x[27] = -1.4280  job_id = 387647e3-239f-4862-acdb-82f06fcf2142
x[28] = -1.3645  job_id = 498328ac-5e64-4959-93aa-1a34bd7c7a7f
x[29] = -1.3011  job_id = 7937a978-df4a-457e-94b6-d23dff46d327
x[30] = -1.2376  job_id = 220cb2f2-7e76-4801-968d-0adeccc1e623
x[31] = -1.1741  job_id = 93c21a02-a4a0-44ed-9922-86f9f93ed049
x[32] = -1.1107  job_id = cfd267e7-7015-4232-ac66-574c96508ab4
x[33] = -1.0472  job_id = 426b18b2-c640-46a1-bca6-002f5b048796
x[34] = -0.9837  job_id = 74e9e392-b160-4772-bde7-012b423998cb
x[35] = -0.9203  job_id = 5d6741b7-f4d5-4a95-9d89-907c0f1df2e6
x[36] = -0.8568  job_id = deeba8fa-30d6-4f71-b288-f3980bb8b9e6
x[37] = -0.7933  job_id = 33e5ea59-909b-46e5-9676-332ccb2f4fdd
x[38] = -0.7299  job_id = f0ea3f18-221e-4a34-a9d6-9f9ed05118f4
x[39] = -0.6664  job_id = 71ee365f-0b5e-42e2-9129-2ebafd4560b6
x[40] = -0.6029  job_id = 21dd15a0-7a9c-45d6-8cc8-3c10e18d07c9
x[41] = -0.5395  job_id = 8cacdfd3-e28a-4098-bcd2-910ee10ed39b
