QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L20_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = e5896184-30ab-4c17-8b82-57b8f93ac576
x[01] = -3.0781  job_id = 8fb9578e-c2f4-4521-baf1-9315fbb69ef9
x[02] = -3.0147  job_id = e6a5d8c2-e851-41e4-9fda-4e6a8badd685
x[03] = -2.9512  job_id = 287b0dea-18f2-483a-861c-ad091471dc2e
x[04] = -2.8877  job_id = 22f87588-e917-4cad-b77f-9ce72eefe699
x[05] = -2.8243  job_id = eba5a8a1-be84-4d0a-a636-d5f59fbb7984
x[06] = -2.7608  job_id = 7f85c299-db00-4a79-a49c-dea147813ba7
x[07] = -2.6973  job_id = 712c8b0a-d21a-4647-a0f9-689f9e83fe9a
x[08] = -2.6339  job_id = f2d06c5c-8c28-46e0-898f-c61bda9f0717
x[09] = -2.5704  job_id = b4c645e1-3f7b-4ff5-bbcc-650e42406d1a
x[10] = -2.5069  job_id = aeb66e61-5f3e-4e51-8b62-e63efde7fd37
x[11] = -2.4435  job_id = 112766d3-ea6a-4b1a-a66a-ff46dc5afc81
x[12] = -2.3800  job_id = ff4683b8-fc6c-4ec9-9afa-e68c08a7ed7a
x[13] = -2.3165  job_id = 31fdee05-7d79-4a3c-9fec-7db69dcbdc8b
x[14] = -2.2531  job_id = f67ccaa4-3a87-49e5-8403-869687fe940f
x[15] = -2.1896  job_id = 2bb74963-dece-40e5-87e6-996e717e741a
x[16] = -2.1261  job_id = 8b756d91-dfc7-47de-a27e-87811a30ae48
x[17] = -2.0627  job_id = d92e8285-ce89-49b5-bd09-73be61cb527d
x[18] = -1.9992  job_id = 0a58e8fd-83e9-4d11-af78-99cfdfbeeaae
x[19] = -1.9357  job_id = 4fca43f5-424e-42b7-9e39-85cd89e706da
x[20] = -1.8723  job_id = 59f7b8b7-8b02-4f0d-8961-4f04296a55f8
x[21] = -1.8088  job_id = 5fb5cf63-833a-4af3-b113-787a2a79b6e9
x[22] = -1.7453  job_id = 0cc534ec-66a3-490c-8508-3284bd73ed78
x[23] = -1.6819  job_id = cf4110fb-e8d2-4e40-a59d-b42249eaabb1
x[24] = -1.6184  job_id = 012203be-0ca4-4bae-b0f0-f801219d1772
x[25] = -1.5549  job_id = f198b03b-cbbc-4e75-8c26-75be551dcc55
x[26] = -1.4915  job_id = 59ae7b3c-3945-49c4-91f9-2731a0907065
x[27] = -1.4280  job_id = ebf463ae-a1c4-4864-8daa-d9a22b9c053a
x[28] = -1.3645  job_id = 1d597ce9-6b28-4e1c-80fe-fec9ac6e3fcf
x[29] = -1.3011  job_id = d85571e7-32ba-4d21-aa7d-f4585c0ac227
x[30] = -1.2376  job_id = e17a05a7-b42d-4f45-8c34-3d290c571d2b
x[31] = -1.1741  job_id = 929857a6-1d67-40a7-8fdf-f0175e18305c
x[32] = -1.1107  job_id = a11125cf-ba40-453d-8340-70b33fc26669
x[33] = -1.0472  job_id = c74dbd82-ef6b-44ab-b533-9e639022b906
x[34] = -0.9837  job_id = 85d65fa0-2e57-4513-a0d7-1b082ee0ee28
x[35] = -0.9203  job_id = 2c3c7214-24a7-4007-bb1b-71aa6d951f50
x[36] = -0.8568  job_id = 0e7916f3-2db5-412c-bc0a-76b261870d40
x[37] = -0.7933  job_id = 6f3d6a2e-923b-4fe7-9237-03edf279719a
x[38] = -0.7299  job_id = b3c66e73-eacf-42ee-bdf2-3a0f0bfd4bd4
x[39] = -0.6664  job_id = c74d2f9a-8394-41ed-9c8d-31882253acb4
x[40] = -0.6029  job_id = e79be245-0c84-4edf-a800-a69eb46ad68c
x[41] = -0.5395  job_id = 9a5dbaf7-cc78-45c7-a5a5-b9e779b635a2
