QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L240_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = bf9c0e33-a2ef-400a-a9c2-fbcd71941624
x[01] = -3.0781  job_id = 46ee6652-8ed0-4d9b-bce4-c5e7b8a6c5dc
x[02] = -3.0147  job_id = 0c13b737-0a25-4fe7-afb3-94ef3b69a05c
x[03] = -2.9512  job_id = b7119a26-f3cd-48a5-9737-49bfe29d7cba
x[04] = -2.8877  job_id = e7c461c7-1318-4e0f-af77-33e72ec9b5b9
x[05] = -2.8243  job_id = 87d7e4f8-8dba-425d-91f5-b2c9438dc9a6
x[06] = -2.7608  job_id = 6284bd13-a66f-4a9c-8d46-9805f2fd0ad2
x[07] = -2.6973  job_id = c7b067e0-bf63-46c1-8838-d58d1b4614f2
x[08] = -2.6339  job_id = 0c27830d-e23c-41e6-95b0-64039556054e
x[09] = -2.5704  job_id = dc7a69f9-e315-438d-9d18-d1a10a63b9c4
x[10] = -2.5069  job_id = fa0cd64e-e91f-4149-82d5-43db9e24822f
x[11] = -2.4435  job_id = 71cadd4b-0164-442e-9a8e-3c0f91880c47
x[12] = -2.3800  job_id = fb7131c7-3385-4659-b7a3-208db34601bd
x[13] = -2.3165  job_id = 76019a56-9bac-48e4-bf27-60dadb589ea6
x[14] = -2.2531  job_id = ba2b1833-f5a3-47e8-a447-e28d5a1871e7
x[15] = -2.1896  job_id = 7ad38c61-9988-4969-9ac1-308c53b7910f
x[16] = -2.1261  job_id = 102e979d-829c-48c8-97a8-68950f30fcff
x[17] = -2.0627  job_id = b8d2cf8c-9c5a-415d-98aa-3767702df97d
x[18] = -1.9992  job_id = 8153bfce-036a-4ba1-b827-21b05eba7e19
x[19] = -1.9357  job_id = 0b22422f-069c-4a5e-9897-5a7023a1b629
x[20] = -1.8723  job_id = 511a4750-9181-4186-9e02-70b2deaacb52
x[21] = -1.8088  job_id = b4781862-1415-447b-9443-80913ee7a80e
x[22] = -1.7453  job_id = 6a4daf16-4377-4da2-ad20-5f10ade6c574
x[23] = -1.6819  job_id = 2d9acccc-04af-4963-b530-ba55a8ab92f7
x[24] = -1.6184  job_id = fe0ce6c1-ce06-4a66-8180-960afeba4ebf
x[25] = -1.5549  job_id = 8231b563-e8fa-4928-9591-355f871a7108
x[26] = -1.4915  job_id = 67e97c73-089a-4a91-bac8-c43da808f781
x[27] = -1.4280  job_id = 84c7846d-4854-43de-9b2c-1774f7e8ae30
x[28] = -1.3645  job_id = 819c764a-2b0a-4bf0-8bcb-4f33ff95760e
x[29] = -1.3011  job_id = 89112df6-92b8-4ba1-a868-62cbd47405e1
x[30] = -1.2376  job_id = 714faf6f-8f4c-4dca-9e47-87aebf8a5c1a
x[31] = -1.1741  job_id = ea3ee39c-5f00-4ea0-bd8b-33708b12c670
x[32] = -1.1107  job_id = 250a7a93-a30e-42eb-9d66-6ee76122e08b
x[33] = -1.0472  job_id = c7344e4a-63ba-4372-9f4b-5b25287e80dc
x[34] = -0.9837  job_id = 85846b01-7bf1-422e-a93c-5d10df68a2d2
x[35] = -0.9203  job_id = 33ae8db9-6354-4f0c-b19e-16868c173df8
x[36] = -0.8568  job_id = 917f5f23-8c6a-4c74-bc2a-103c223d76d3
x[37] = -0.7933  job_id = 4e188a1b-a334-4295-a338-a24c5805b753
x[38] = -0.7299  job_id = b2805e49-ad13-4ab9-bbef-58cbbe6fcbbc
x[39] = -0.6664  job_id = 04abccf4-6357-4e74-82ca-795452d43b9a
x[40] = -0.6029  job_id = 282d04ab-a0aa-466a-91ab-16bc56a7401d
x[41] = -0.5395  job_id = ac756c7a-51a6-4e9e-804b-98cf9aea6ea8
