QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L60_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = b2a18ddb-f450-4edf-857f-8f5b26d81697
x[01] = -3.0781  job_id = b45f3f8e-1fb8-4c84-baa0-61c1fd18a3fc
x[02] = -3.0147  job_id = eeafb988-5f08-42ae-a60e-4b471a18b523
x[03] = -2.9512  job_id = 3f2f22e1-3c47-45f1-a092-2d9c58cb2480
x[04] = -2.8877  job_id = aa4624ef-eadd-4412-b59e-393a2ef4d7d7
x[05] = -2.8243  job_id = 521f46ef-306d-4df1-9a2c-f3f8895de190
x[06] = -2.7608  job_id = 8b3625db-c97b-437e-a9cd-da1336795ea3
x[07] = -2.6973  job_id = bde81862-ff2a-4a1e-8fa3-2e4b914eb8d0
x[08] = -2.6339  job_id = 86c59086-093f-420f-9ef7-e82e953782bc
x[09] = -2.5704  job_id = 82416394-356d-40f0-86cc-5bdda4c9076b
x[10] = -2.5069  job_id = 6c97d12c-c4b5-481f-828d-b3d03017e542
x[11] = -2.4435  job_id = d0a0f6a5-884e-4a7c-b2bc-1109b08e34ea
x[12] = -2.3800  job_id = 6382fb16-3eb0-4f57-ad82-31bafd9ffe5e
x[13] = -2.3165  job_id = 5afaf3b9-c13b-46c2-916f-9599cc0af8a6
x[14] = -2.2531  job_id = bd6053d9-5d18-457d-b56d-932c1579d381
x[15] = -2.1896  job_id = 529f5c5b-f377-41e3-ba53-9f8908324239
x[16] = -2.1261  job_id = 345bd9de-d0a6-40cd-b3c0-f786ac90d4a3
x[17] = -2.0627  job_id = d50d152b-50ce-402f-9c5d-82e4e3c6f67c
x[18] = -1.9992  job_id = e3b451d4-90a1-442a-ab69-9c1f48705770
x[19] = -1.9357  job_id = e9b32eb4-f275-452f-88c4-31813a2aba29
x[20] = -1.8723  job_id = 8c3d5a40-8b5a-4b98-8588-871a2bcff1a9
x[21] = -1.8088  job_id = 86298e84-4843-472f-a338-9eead9981e4b
x[22] = -1.7453  job_id = 5741b880-9534-493d-a175-bfc6f83c4c8a
x[23] = -1.6819  job_id = ca1cacb2-b00f-4876-9d65-c341db437e82
x[24] = -1.6184  job_id = bc8e114e-a3a8-4e35-ae4e-7ad1e7b1af9a
x[25] = -1.5549  job_id = f823dea4-62db-40df-8882-1ef0a1696806
x[26] = -1.4915  job_id = 9ab14824-acc6-42c9-b574-08a7f9f3e1af
x[27] = -1.4280  job_id = 3bc3bd7b-db76-4fb5-8a8e-f511db770a43
x[28] = -1.3645  job_id = 5f43fd4a-eba0-4539-a5ee-1a1abb3953a0
x[29] = -1.3011  job_id = 13b23358-4eba-4af1-b4d4-65ba8a2dd9cb
x[30] = -1.2376  job_id = 38fd8162-fbe9-4913-8db5-de6dc191471d
x[31] = -1.1741  job_id = 7a9333cc-5303-4937-92a4-08dd0fb71c17
x[32] = -1.1107  job_id = f5dbb6b8-9637-47a1-b8c2-54757921d6f8
x[33] = -1.0472  job_id = 57df6a7a-69be-4689-b400-07bcdba08eb9
x[34] = -0.9837  job_id = 765ce5ac-6028-4946-9abe-b0648575abef
x[35] = -0.9203  job_id = 07187fcc-6ce9-4b79-b1a3-63add31dd149
x[36] = -0.8568  job_id = d4a2fa6e-e307-4177-a568-903a33e136ad
x[37] = -0.7933  job_id = d1d3ee7d-b9e7-4114-9745-4b8557257223
x[38] = -0.7299  job_id = 4931fd17-9232-4aa5-a152-7f73da4e78f1
x[39] = -0.6664  job_id = d2c37665-6cf2-4e6a-9bcf-b33913afc218
x[40] = -0.6029  job_id = e2758bc9-5685-49c4-83d7-857937cc7e63
x[41] = -0.5395  job_id = be98208d-27fb-42fc-8d0b-e4832cf8edcf
