QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L5_N5000_x25
Angle method : pq
x points     : 25
N_SHOTS      : 5000

x[00] = -3.1416  job_id = f6478627-3733-44e6-b058-0d6ba7ce312d
x[01] = -2.8798  job_id = bd9206e5-37e3-451d-836d-f105e744e541
x[02] = -2.6180  job_id = a1f00feb-45a3-4ece-9099-3aeec669150d
x[03] = -2.3562  job_id = edcde8f4-d604-44e7-a75e-33211e641c4a
x[04] = -2.0944  job_id = 11f52145-dd62-4a33-89a2-27200edb5d31
x[05] = -1.8326  job_id = 60187d2f-a703-43a5-a511-8509d10173e2
x[06] = -1.5708  job_id = 44c0be8b-b17a-48b4-b195-5e126b1b8e0f
x[07] = -1.3090  job_id = 9db493f6-5e34-4beb-8dfd-2cd00061567a
x[08] = -1.0472  job_id = d1d14d60-355c-4ca5-a787-3a7ac69b49aa
x[09] = -0.7854  job_id = 2e7387c6-6dd6-4db6-88e6-5c0be742edf2
x[10] = -0.5236  job_id = 3179eb9d-14d8-457b-ba8f-d0177fc2ddeb
x[11] = -0.2618  job_id = 287c2457-29dc-46fe-8550-0de92607f83e
x[12] = +0.0000  job_id = ddce6c31-6a8c-427e-accd-ac10cf21d8ef
x[13] = +0.2618  job_id = 04a7485e-acf4-46ef-bb6e-628f6619480a
x[14] = +0.5236  job_id = f8ac843b-24e1-416d-8655-89cc1dc945b1
x[15] = +0.7854  job_id = aa5ac69a-6fc7-40a5-859a-e98461b74712
x[16] = +1.0472  job_id = 88e7524c-d35b-493a-a69d-de4e16a9403e
x[17] = +1.3090  job_id = 00dc8757-d437-47c1-8ad6-de357b382237
x[18] = +1.5708  job_id = 4e8e2700-867a-419c-99ef-77c16ab52b42
x[19] = +1.8326  job_id = a4af0a96-a221-48d9-8086-75703120ddcb
x[20] = +2.0944  job_id = 6ac71190-69f8-4b1a-94ae-bf35000da5e4
x[21] = +2.3562  job_id = 9f19d1fa-f0de-486e-ade5-93be3bd7aa45
x[22] = +2.6180  job_id = ad0dbb3f-8f66-43ff-9bf6-5df6ddadcc0f
x[23] = +2.8798  job_id = bead3ae1-70fe-4cfd-8174-84e1c3d0f790
x[24] = +3.1416  job_id = 3336c890-d0cc-4097-800c-b36b47cc79f8
